SalesOrderID,DetailLines
43659,12
43661,15
43662,22
43664,8
43665,10
43666,6
43667,4
43668,29
43670,4
43671,11
43672,3
43673,11
43675,9
43676,5
43677,12
43678,19
43679,3
43680,15
43681,21
43682,5
43683,13
43684,6
43685,4
43686,3
43688,11
43689,21
43690,4
43692,28
43693,10
43694,11
43695,8
43843,10
43844,4
43845,10
43846,4
43847,3
43848,5
43849,11
43850,11
43851,12
43853,6
43855,13
43857,14
43858,13
43859,4
43860,12
43861,27
43862,9
43863,4
43864,9
43865,14
43866,3
43867,18
43869,10
43870,5
43871,14
43872,16
43873,28
43875,21
43876,8
43877,10
43879,26
43880,13
43881,8
43883,17
43884,22
43886,21
43888,14
43890,13
43891,9
43892,13
43894,3
